 1.71779838E-06   6671.1 6.772E-02 2.901E+10 2.504E-01 3.435E+02 1.000E+05 0.000E+00 5.388E+07
 2.27460439E-06   6736.8 8.971E-02 3.791E+10 2.548E-01 3.263E+02 1.000E+05 0.000E+00 4.110E+07
 3.00278185E-06   6803.3 1.185E-01 4.938E+10 2.602E-01 3.115E+02 1.000E+05 0.000E+00 3.134E+07
 3.95154493E-06   6871.1 1.559E-01 6.415E+10 2.669E-01 2.986E+02 1.000E+05 0.000E+00 2.404E+07
 5.18187202E-06   6940.8 2.046E-01 8.310E+10 2.752E-01 2.869E+02 1.000E+05 0.000E+00 1.852E+07
 6.76874469E-06   7012.7 2.673E-01 1.073E+11 2.853E-01 2.769E+02 1.000E+05 0.000E+00 1.434E+07
 8.80297345E-06   7087.5 3.477E-01 1.382E+11 2.977E-01 2.681E+02 1.000E+05 0.000E+00 1.116E+07
 1.13926478E-05   7165.7 4.501E-01 1.772E+11 3.129E-01 2.590E+02 1.000E+05 0.000E+00 8.672E+06
 1.46676088E-05   7246.4 5.797E-01 2.264E+11 3.310E-01 2.502E+02 1.000E+05 0.000E+00 6.705E+06
 1.87835495E-05   7329.5 7.425E-01 2.880E+11 3.522E-01 2.422E+02 1.000E+05 0.000E+00 5.162E+06
 2.39251951E-05   7415.1 9.460E-01 3.646E+11 3.771E-01 2.346E+02 1.000E+05 0.000E+00 3.945E+06
 3.03106703E-05   7503.2 1.199E+00 4.595E+11 4.060E-01 2.273E+02 1.000E+05 0.000E+00 2.985E+06
 3.81969347E-05   7593.7 1.511E+00 5.763E+11 4.395E-01 2.197E+02 1.000E+05 0.000E+00 2.235E+06
 4.78901444E-05   7685.6 1.895E+00 7.193E+11 4.777E-01 2.112E+02 1.000E+05 0.000E+00 1.604E+06
 5.97604048E-05   7777.3 2.365E+00 8.932E+11 5.210E-01 2.023E+02 1.000E+05 0.000E+00 1.096E+06
 7.42598807E-05   7866.9 2.939E+00 1.104E+12 5.693E-01 1.934E+02 1.000E+05 0.000E+00 7.097E+05
 9.19396177E-05   7953.1 3.640E+00 1.357E+12 6.231E-01 1.860E+02 1.000E+05 0.000E+00 4.287E+05
 1.13459304E-04   8035.9 4.492E+00 1.662E+12 6.833E-01 1.802E+02 1.000E+05 0.000E+00 2.393E+05
 1.39603725E-04   8114.8 5.529E+00 2.027E+12 7.507E-01 1.762E+02 1.000E+05 0.000E+00 1.244E+05
 1.71292343E-04   8191.7 6.785E+00 2.465E+12 8.270E-01 1.740E+02 1.000E+05 0.000E+00 6.358E+04
 2.09589863E-04   8266.9 8.303E+00 2.987E+12 9.139E-01 1.734E+02 1.000E+05 0.000E+00 3.086E+04
 2.55735963E-04   8341.5 1.013E+01 3.610E+12 1.013E+00 1.737E+02 1.000E+05 0.000E+00 1.334E+04
 3.11178933E-04   8415.1 1.233E+01 4.350E+12 1.126E+00 1.750E+02 1.000E+05 0.000E+00 3.846E+03
 3.77621207E-04   8487.8 1.496E+01 5.226E+12 1.254E+00 1.770E+02 1.000E+05 0.000E+00 0.000E+00
 4.57073376E-04   8558.7 1.811E+01 6.260E+12 1.400E+00 1.799E+02 1.000E+05 0.000E+00 0.000E+00
 5.51933499E-04   8627.0 2.187E+01 7.477E+12 1.564E+00 1.838E+02 1.000E+05 0.000E+00 0.000E+00
 6.65061138E-04   8692.4 2.635E+01 8.907E+12 1.750E+00 1.891E+02 1.000E+05 0.000E+00 0.000E+00
 7.99868579E-04   8754.5 3.169E+01 1.058E+13 1.959E+00 1.961E+02 1.000E+05 0.000E+00 0.000E+00
 9.60413596E-04   8813.9 3.805E+01 1.254E+13 2.194E+00 2.048E+02 1.000E+05 0.000E+00 0.000E+00
 1.15151942E-03   8870.8 4.562E+01 1.483E+13 2.458E+00 2.155E+02 1.000E+05 0.000E+00 0.000E+00
 1.37887053E-03   8926.7 5.462E+01 1.751E+13 2.756E+00 2.281E+02 1.000E+05 0.000E+00 0.000E+00
 1.64921452E-03   8981.4 6.532E+01 2.064E+13 3.092E+00 2.426E+02 1.000E+05 0.000E+00 0.000E+00
 1.97055551E-03   9036.0 7.803E+01 2.429E+13 3.469E+00 2.595E+02 1.000E+05 0.000E+00 0.000E+00
 2.35229571E-03   9091.4 9.313E+01 2.855E+13 3.896E+00 2.788E+02 1.000E+05 0.000E+00 0.000E+00
 2.80541053E-03   9148.9 1.110E+02 3.354E+13 4.379E+00 3.008E+02 1.000E+05 0.000E+00 0.000E+00
 3.34265167E-03   9209.7 1.323E+02 3.939E+13 4.928E+00 3.257E+02 1.000E+05 0.000E+00 0.000E+00
 3.97867321E-03   9275.2 1.574E+02 4.625E+13 5.556E+00 3.542E+02 1.000E+05 0.000E+00 0.000E+00
 4.73008579E-03   9347.7 1.870E+02 5.433E+13 6.279E+00 3.867E+02 1.000E+05 0.000E+00 0.000E+00
 5.61557104E-03   9428.9 2.219E+02 6.387E+13 7.115E+00 4.234E+02 1.000E+05 0.000E+00 0.000E+00
 6.65621782E-03   9520.8 2.629E+02 7.515E+13 8.084E+00 4.654E+02 1.000E+05 0.000E+00 0.000E+00
 7.87564577E-03   9626.5 3.108E+02 8.852E+13 9.212E+00 5.132E+02 1.000E+05 6.916E-04 0.000E+00
 9.30095722E-03   9749.0 3.668E+02 1.044E+14 1.052E+01 5.675E+02 1.000E+05 7.417E-03 1.352E+02
 1.09645105E-02   9891.6 4.320E+02 1.233E+14 1.202E+01 6.277E+02 1.000E+05 2.607E-02 2.674E+02
 1.29071571E-02  10058.2 5.081E+02 1.457E+14 1.371E+01 6.935E+02 1.000E+05 4.876E-02 3.362E+02
 1.51842521E-02  10252.7 5.971E+02 1.722E+14 1.555E+01 7.623E+02 1.000E+05 5.815E-02 3.479E+02
 1.78751492E-02  10480.3 7.020E+02 2.035E+14 1.745E+01 8.304E+02 1.000E+05 4.814E-02 3.140E+02
 2.10971105E-02  10746.0 8.275E+02 2.404E+14 1.928E+01 8.926E+02 1.000E+05 2.862E-02 2.510E+02
 2.50266631E-02  11055.7 9.803E+02 2.838E+14 2.087E+01 9.423E+02 1.000E+05 1.227E-02 1.779E+02
 2.99305244E-02  11415.3 1.171E+03 3.355E+14 2.203E+01 9.739E+02 1.000E+05 3.720E-03 1.106E+02
 3.62088665E-02  11831.5 1.415E+03 3.980E+14 2.266E+01 9.846E+02 1.000E+05 7.543E-04 5.750E+01
 4.44556512E-02  12311.7 1.735E+03 4.752E+14 2.274E+01 9.750E+02 1.000E+05 8.714E-05 1.940E+01
 5.55458797E-02  12862.8 2.166E+03 5.732E+14 2.233E+01 9.485E+02 1.000E+05 3.033E-06 0.000E+00
 7.07438512E-02  13494.2 2.757E+03 7.001E+14 2.156E+01 9.097E+02 1.000E+05 0.000E+00 0.000E+00
 9.18306361E-02  14209.3 3.577E+03 8.672E+14 2.066E+01 8.661E+02 1.000E+05 0.000E+00 0.000E+00
 1.21203751E-01  15016.8 4.722E+03 1.088E+15 1.979E+01 8.219E+02 1.000E+05 0.000E+00 0.000E+00
 1.61837703E-01  15909.3 6.307E+03 1.380E+15 1.921E+01 7.866E+02 1.000E+05 1.437E-05 0.000E+00
 2.17196815E-01  16891.0 8.468E+03 1.760E+15 1.895E+01 7.635E+02 1.000E+05 6.102E-05 2.246E+01
 2.91429321E-01  17957.1 1.137E+04 2.244E+15 1.895E+01 7.538E+02 1.000E+05 7.894E-05 2.762E+01
 3.90275077E-01  19125.1 1.523E+04 2.845E+15 1.900E+01 7.494E+02 1.000E+05 3.229E-05 0.000E+00
 5.21610483E-01  20398.0 2.036E+04 3.584E+15 1.909E+01 7.489E+02 1.000E+05 0.000E+00 0.000E+00
 6.95502077E-01  21790.9 2.715E+04 4.486E+15 1.928E+01 7.527E+02 1.000E+05 0.000E+00 0.000E+00
 9.24294846E-01  23304.5 3.609E+04 5.583E+15 1.960E+01 7.618E+02 1.000E+05 0.000E+00 0.000E+00
 1.22343681E+00  24952.5 4.776E+04 6.908E+15 2.005E+01 7.744E+02 1.000E+05 0.000E+00 0.000E+00
 1.61237851E+00  26734.6 6.294E+04 8.500E+15 2.062E+01 7.899E+02 1.000E+05 0.000E+00 0.000E+00
 2.11410258E+00  28669.6 8.252E+04 1.039E+16 2.144E+01 8.113E+02 1.000E+05 0.000E+00 0.000E+00
 2.75242232E+00  30754.0 1.074E+05 1.262E+16 2.265E+01 8.438E+02 1.000E+05 0.000E+00 0.000E+00
 3.55142161E+00  33017.6 1.385E+05 1.516E+16 2.432E+01 8.849E+02 1.000E+05 0.000E+00 0.000E+00
 4.53519147E+00  35449.5 1.768E+05 1.803E+16 2.653E+01 8.789E+02 1.000E+05 0.000E+00 0.000E+00
PRADK 2.8097E+01
BEGIN                    ITERATION  60 COMPLETED
