 1.30006072E-06  10756.3 5.117E-02 1.699E+10 3.263E-01 4.535E+02 1.000E+05 0.000E+00 4.195E+08
 1.73011021E-06  10852.4 6.810E-02 2.241E+10 3.278E-01 4.470E+02 1.000E+05 0.000E+00 3.310E+08
 2.30063989E-06  10957.8 9.056E-02 2.951E+10 3.297E-01 4.366E+02 1.000E+05 0.000E+00 2.580E+08
 3.05670784E-06  11071.1 1.203E-01 3.881E+10 3.319E-01 4.225E+02 1.000E+05 0.000E+00 1.983E+08
 4.05762783E-06  11189.8 1.598E-01 5.099E+10 3.345E-01 4.041E+02 1.000E+05 0.000E+00 1.496E+08
 5.38124134E-06  11309.7 2.119E-01 6.693E+10 3.375E-01 3.807E+02 1.000E+05 0.000E+00 1.100E+08
 7.13003599E-06  11425.7 2.809E-01 8.781E+10 3.408E-01 3.560E+02 1.000E+05 0.000E+00 7.835E+07
 9.43789738E-06  11532.4 3.720E-01 1.152E+11 3.445E-01 3.318E+02 1.000E+05 0.000E+00 5.360E+07
 1.24802054E-05  11625.6 4.921E-01 1.511E+11 3.488E-01 3.127E+02 1.000E+05 0.000E+00 3.513E+07
 1.64839144E-05  11705.2 6.503E-01 1.981E+11 3.537E-01 3.015E+02 1.000E+05 0.000E+00 2.220E+07
 2.17418450E-05  11774.4 8.581E-01 2.595E+11 3.596E-01 2.986E+02 1.000E+05 0.000E+00 1.389E+07
 2.86256525E-05  11839.9 1.130E+00 3.394E+11 3.669E-01 3.015E+02 1.000E+05 0.000E+00 8.842E+06
 3.76064111E-05  11906.5 1.485E+00 4.429E+11 3.758E-01 3.077E+02 1.000E+05 0.000E+00 5.574E+06
 4.92722973E-05  11974.3 1.946E+00 5.764E+11 3.866E-01 3.155E+02 1.000E+05 0.000E+00 3.389E+06
 6.43554220E-05  12043.6 2.541E+00 7.475E+11 3.997E-01 3.259E+02 1.000E+05 0.000E+00 2.021E+06
 8.37580358E-05  12115.1 3.307E+00 9.660E+11 4.154E-01 3.391E+02 1.000E+05 0.000E+00 1.237E+06
 1.08581750E-04  12189.8 4.287E+00 1.243E+12 4.341E-01 3.548E+02 1.000E+05 0.000E+00 7.381E+05
 1.40165080E-04  12269.2 5.533E+00 1.593E+12 4.562E-01 3.728E+02 1.000E+05 0.000E+00 4.414E+05
 1.80133700E-04  12355.9 7.109E+00 2.030E+12 4.819E-01 3.913E+02 1.000E+05 0.000E+00 2.653E+05
 2.30457132E-04  12450.2 9.092E+00 2.576E+12 5.116E-01 4.097E+02 1.000E+05 0.000E+00 1.551E+05
 2.93510738E-04  12549.8 1.158E+01 3.252E+12 5.458E-01 4.276E+02 1.000E+05 0.000E+00 8.687E+04
 3.72144139E-04  12652.8 1.467E+01 4.087E+12 5.849E-01 4.467E+02 1.000E+05 0.000E+00 4.727E+04
 4.69777599E-04  12759.5 1.851E+01 5.112E+12 6.295E-01 4.673E+02 1.000E+05 0.000E+00 2.568E+04
 5.90509711E-04  12871.8 2.326E+01 6.366E+12 6.799E-01 4.877E+02 1.000E+05 0.000E+00 1.358E+04
 7.39296804E-04  12988.0 2.911E+01 7.895E+12 7.370E-01 5.095E+02 1.000E+05 0.000E+00 6.774E+03
 9.22055870E-04  13109.5 3.629E+01 9.751E+12 8.012E-01 5.313E+02 1.000E+05 0.000E+00 3.120E+03
 1.14595185E-03  13235.8 4.508E+01 1.200E+13 8.732E-01 5.524E+02 1.000E+05 0.000E+00 1.046E+03
 1.41950894E-03  13364.0 5.582E+01 1.472E+13 9.543E-01 5.741E+02 1.000E+05 0.000E+00 0.000E+00
 1.75285927E-03  13493.4 6.890E+01 1.799E+13 1.046E+00 5.969E+02 1.000E+05 0.000E+00 0.000E+00
 2.15793382E-03  13621.0 8.478E+01 2.193E+13 1.149E+00 6.234E+02 1.000E+05 0.000E+00 0.000E+00
 2.64885630E-03  13747.4 1.040E+02 2.666E+13 1.266E+00 6.533E+02 1.000E+05 0.000E+00 0.000E+00
 3.24223734E-03  13870.5 1.272E+02 3.232E+13 1.398E+00 6.896E+02 1.000E+05 0.000E+00 0.000E+00
 3.95760731E-03  13991.4 1.552E+02 3.908E+13 1.548E+00 7.328E+02 1.000E+05 0.000E+00 0.000E+00
 4.81825760E-03  14110.7 1.888E+02 4.714E+13 1.718E+00 7.848E+02 1.000E+05 0.000E+00 0.000E+00
 5.85194377E-03  14230.7 2.291E+02 5.672E+13 1.909E+00 8.462E+02 1.000E+05 0.000E+00 0.000E+00
 7.09245085E-03  14354.6 2.774E+02 6.807E+13 2.121E+00 9.174E+02 1.000E+05 0.000E+00 0.000E+00
 8.58126745E-03  14486.1 3.353E+02 8.152E+13 2.356E+00 9.980E+02 1.000E+05 0.000E+00 0.000E+00
 1.03701917E-02  14629.6 4.046E+02 9.744E+13 2.612E+00 1.088E+03 1.000E+05 0.000E+00 0.000E+00
 1.25242857E-02  14789.2 4.879E+02 1.163E+14 2.889E+00 1.185E+03 1.000E+05 0.000E+00 0.000E+00
 1.51263815E-02  14970.5 5.883E+02 1.386E+14 3.183E+00 1.290E+03 1.000E+05 0.000E+00 0.000E+00
 1.82832208E-02  15179.8 7.097E+02 1.651E+14 3.490E+00 1.399E+03 1.000E+05 0.000E+00 0.000E+00
 2.21340890E-02  15424.3 8.574E+02 1.966E+14 3.804E+00 1.511E+03 1.000E+05 0.000E+00 0.000E+00
 2.68624595E-02  15711.8 1.038E+03 2.341E+14 4.117E+00 1.621E+03 1.000E+05 0.000E+00 0.000E+00
 3.27126448E-02  16050.5 1.261E+03 2.791E+14 4.420E+00 1.728E+03 1.000E+05 0.000E+00 0.000E+00
 4.00132675E-02  16450.7 1.539E+03 3.332E+14 4.703E+00 1.826E+03 1.000E+05 0.000E+00 0.000E+00
 4.92096112E-02  16921.8 1.888E+03 3.986E+14 4.958E+00 1.916E+03 1.000E+05 0.000E+00 0.000E+00
 6.08681516E-02  17483.0 2.329E+03 4.775E+14 5.203E+00 1.995E+03 1.000E+05 0.000E+00 0.000E+00
 7.57489203E-02  18121.6 2.891E+03 5.733E+14 5.412E+00 2.052E+03 1.000E+05 0.000E+00 0.000E+00
 9.49090285E-02  18849.8 3.615E+03 6.904E+14 5.587E+00 2.091E+03 1.000E+05 0.000E+00 0.000E+00
 1.19695050E-01  19674.8 4.549E+03 8.336E+14 5.754E+00 2.120E+03 1.000E+05 0.000E+00 0.000E+00
 1.51823572E-01  20599.5 5.760E+03 1.009E+15 5.915E+00 2.136E+03 1.000E+05 0.000E+00 0.000E+00
 1.93497367E-01  21618.4 7.329E+03 1.224E+15 6.079E+00 2.150E+03 1.000E+05 0.000E+00 0.000E+00
 2.47775525E-01  22757.0 9.373E+03 1.488E+15 6.210E+00 2.143E+03 1.000E+05 0.000E+00 0.000E+00
 3.18456783E-01  23982.6 1.204E+04 1.814E+15 6.371E+00 2.144E+03 1.000E+05 0.000E+00 0.000E+00
 4.10320689E-01  25348.3 1.550E+04 2.210E+15 6.542E+00 2.141E+03 1.000E+05 0.000E+00 0.000E+00
 5.29186682E-01  26801.5 1.997E+04 2.694E+15 6.767E+00 2.167E+03 1.000E+05 0.000E+00 0.000E+00
 6.81006987E-01  28421.9 2.568E+04 3.267E+15 7.135E+00 2.234E+03 1.000E+05 0.000E+00 0.000E+00
 8.71406257E-01  30154.7 3.283E+04 3.936E+15 7.639E+00 2.353E+03 1.000E+05 0.000E+00 0.000E+00
 1.10740345E+00  32084.1 4.165E+04 4.695E+15 8.259E+00 2.518E+03 1.000E+05 0.000E+00 0.000E+00
 1.39659450E+00  34172.9 5.240E+04 5.550E+15 9.036E+00 2.738E+03 1.000E+05 4.101E-03 0.000E+00
 1.74793210E+00  36492.5 6.538E+04 6.498E+15 9.942E+00 3.000E+03 1.000E+05 1.690E+00 1.100E+02
 2.17319705E+00  38991.7 8.097E+04 7.565E+15 1.095E+01 3.289E+03 1.000E+05 2.589E+01 7.423E+02
 2.69250899E+00  41744.8 9.987E+04 8.784E+15 1.181E+01 3.531E+03 1.000E+05 7.098E+01 1.639E+03
 3.34968017E+00  44707.7 1.237E+05 1.025E+16 1.215E+01 3.635E+03 1.000E+05 7.189E+01 1.631E+03
 4.22928758E+00  47969.6 1.555E+05 1.209E+16 1.180E+01 3.547E+03 1.000E+05 2.597E+01 5.309E+02
 5.45243636E+00  51439.3 2.000E+05 1.455E+16 1.119E+01 3.364E+03 1.000E+05 8.586E-01 0.000E+00
 7.18890637E+00  55236.6 2.635E+05 1.788E+16 1.044E+01 3.124E+03 1.000E+05 0.000E+00 0.000E+00
 9.66397382E+00  59267.4 3.545E+05 2.245E+16 9.772E+00 2.921E+03 1.000E+05 0.000E+00 0.000E+00
PRADK 2.1759E+02
BEGIN                    ITERATION  60 COMPLETED
