 1.31592476E-06   7944.8 5.184E-02 2.260E+10 3.296E-01 5.703E+02 1.000E+05 0.000E+00 7.854E+07
 1.73946766E-06   7993.2 6.845E-02 2.964E+10 3.344E-01 6.149E+02 1.000E+05 0.000E+00 6.795E+07
 2.29548618E-06   8050.9 9.023E-02 3.878E+10 3.401E-01 6.481E+02 1.000E+05 0.000E+00 5.669E+07
 3.02402162E-06   8122.3 1.188E-01 5.057E+10 3.464E-01 6.597E+02 1.000E+05 0.000E+00 4.648E+07
 3.97656713E-06   8202.0 1.561E-01 6.579E+10 3.537E-01 6.586E+02 1.000E+05 0.000E+00 3.681E+07
 5.21892131E-06   8289.7 2.047E-01 8.537E+10 3.621E-01 6.455E+02 1.000E+05 0.000E+00 2.869E+07
 6.83486441E-06   8383.6 2.680E-01 1.105E+11 3.718E-01 6.238E+02 1.000E+05 0.000E+00 2.185E+07
 8.93032051E-06   8481.4 3.501E-01 1.427E+11 3.829E-01 5.982E+02 1.000E+05 0.000E+00 1.621E+07
 1.16381258E-05   8580.8 4.564E-01 1.838E+11 3.959E-01 5.738E+02 1.000E+05 0.000E+00 1.178E+07
 1.51242781E-05   8683.1 5.932E-01 2.361E+11 4.108E-01 5.491E+02 1.000E+05 0.000E+00 8.373E+06
 1.95952476E-05   8787.1 7.688E-01 3.023E+11 4.279E-01 5.259E+02 1.000E+05 0.000E+00 5.727E+06
 2.53063838E-05   8893.5 9.932E-01 3.858E+11 4.476E-01 5.037E+02 1.000E+05 0.000E+00 3.791E+06
 3.25724104E-05   9002.6 1.279E+00 4.908E+11 4.700E-01 4.824E+02 1.000E+05 0.000E+00 2.411E+06
 4.17797879E-05   9115.3 1.641E+00 6.219E+11 4.956E-01 4.613E+02 1.000E+05 0.000E+00 1.472E+06
 5.34022496E-05   9231.6 2.099E+00 7.853E+11 5.245E-01 4.386E+02 1.000E+05 0.000E+00 8.952E+05
 6.80167225E-05   9350.4 2.674E+00 9.880E+11 5.573E-01 4.157E+02 1.000E+05 0.000E+00 5.175E+05
 8.63199255E-05   9470.4 3.395E+00 1.239E+12 5.946E-01 3.929E+02 1.000E+05 0.000E+00 2.915E+05
 1.09147303E-04   9589.8 4.295E+00 1.547E+12 6.371E-01 3.720E+02 1.000E+05 0.000E+00 1.573E+05
 1.37491366E-04   9706.8 5.414E+00 1.927E+12 6.857E-01 3.542E+02 1.000E+05 0.000E+00 8.055E+04
 1.72514978E-04   9819.4 6.796E+00 2.390E+12 7.418E-01 3.403E+02 1.000E+05 0.000E+00 3.916E+04
 2.15583700E-04   9928.2 8.496E+00 2.955E+12 8.062E-01 3.309E+02 1.000E+05 0.000E+00 1.795E+04
 2.68305437E-04  10033.4 1.058E+01 3.640E+12 8.802E-01 3.254E+02 1.000E+05 0.000E+00 7.210E+03
 3.32565510E-04  10135.4 1.312E+01 4.467E+12 9.649E-01 3.231E+02 1.000E+05 0.000E+00 1.965E+03
 4.10580623E-04  10234.7 1.620E+01 5.462E+12 1.062E+00 3.237E+02 1.000E+05 0.000E+00 0.000E+00
 5.04940915E-04  10331.3 1.992E+01 6.654E+12 1.173E+00 3.272E+02 1.000E+05 0.000E+00 0.000E+00
 6.18682624E-04  10425.1 2.441E+01 8.077E+12 1.299E+00 3.334E+02 1.000E+05 0.000E+00 0.000E+00
 7.55346934E-04  10516.4 2.981E+01 9.774E+12 1.444E+00 3.423E+02 1.000E+05 0.000E+00 0.000E+00
 9.19075087E-04  10604.7 3.627E+01 1.179E+13 1.610E+00 3.542E+02 1.000E+05 0.000E+00 0.000E+00
 1.11468390E-03  10690.3 4.398E+01 1.418E+13 1.799E+00 3.693E+02 1.000E+05 0.000E+00 0.000E+00
 1.34784568E-03  10773.5 5.318E+01 1.700E+13 2.015E+00 3.879E+02 1.000E+05 0.000E+00 0.000E+00
 1.62519417E-03  10854.4 6.411E+01 2.033E+13 2.261E+00 4.096E+02 1.000E+05 0.000E+00 0.000E+00
 1.95442541E-03  10931.7 7.708E+01 2.426E+13 2.542E+00 4.365E+02 1.000E+05 0.000E+00 0.000E+00
 2.34455266E-03  11007.3 9.243E+01 2.887E+13 2.862E+00 4.688E+02 1.000E+05 0.000E+00 0.000E+00
 2.80648140E-03  11083.0 1.106E+02 3.429E+13 3.224E+00 5.055E+02 1.000E+05 0.000E+00 0.000E+00
 3.35322529E-03  11159.3 1.321E+02 4.064E+13 3.633E+00 5.479E+02 1.000E+05 0.000E+00 0.000E+00
 4.00053393E-03  11238.4 1.575E+02 4.808E+13 4.090E+00 5.957E+02 1.000E+05 0.000E+00 0.000E+00
 4.76770900E-03  11322.1 1.875E+02 5.680E+13 4.599E+00 6.488E+02 1.000E+05 0.000E+00 0.000E+00
 5.67868800E-03  11413.3 2.232E+02 6.702E+13 5.158E+00 7.071E+02 1.000E+05 0.000E+00 0.000E+00
 6.76342178E-03  11514.8 2.656E+02 7.902E+13 5.767E+00 7.699E+02 1.000E+05 0.000E+00 0.000E+00
 8.05995731E-03  11629.7 3.161E+02 9.311E+13 6.421E+00 8.367E+02 1.000E+05 0.000E+00 0.000E+00
 9.61716887E-03  11762.2 3.768E+02 1.097E+14 7.109E+00 9.058E+02 1.000E+05 0.000E+00 0.000E+00
 1.14992240E-02  11916.8 4.499E+02 1.294E+14 7.817E+00 9.756E+02 1.000E+05 0.000E+00 0.000E+00
 1.37911497E-02  12098.7 5.389E+02 1.527E+14 8.524E+00 1.043E+03 1.000E+05 0.000E+00 0.000E+00
 1.66079084E-02  12313.3 6.480E+02 1.806E+14 9.205E+00 1.106E+03 1.000E+05 0.000E+00 0.000E+00
 2.01061692E-02  12567.2 7.833E+02 2.141E+14 9.829E+00 1.162E+03 1.000E+05 0.000E+00 0.000E+00
 2.45037648E-02  12867.0 9.531E+02 2.549E+14 1.036E+01 1.206E+03 1.000E+05 0.000E+00 0.000E+00
 3.01046135E-02  13220.8 1.169E+03 3.048E+14 1.078E+01 1.237E+03 1.000E+05 0.000E+00 0.000E+00
 3.73347871E-02  13637.2 1.448E+03 3.667E+14 1.107E+01 1.254E+03 1.000E+05 0.000E+00 0.000E+00
 4.67880612E-02  14124.7 1.813E+03 4.441E+14 1.122E+01 1.257E+03 1.000E+05 0.000E+00 0.000E+00
 5.92786489E-02  14690.7 2.294E+03 5.421E+14 1.129E+01 1.249E+03 1.000E+05 0.000E+00 0.000E+00
 7.58819826E-02  15341.7 2.935E+03 6.669E+14 1.131E+01 1.235E+03 1.000E+05 0.000E+00 0.000E+00
 9.79699983E-02  16082.8 3.787E+03 8.261E+14 1.134E+01 1.219E+03 1.000E+05 1.233E-08 0.000E+00
 1.27263791E-01  16910.0 4.917E+03 1.028E+15 1.143E+01 1.206E+03 1.000E+05 2.466E-08 2.556E+00
 1.66030172E-01  17834.1 6.414E+03 1.281E+15 1.152E+01 1.193E+03 1.000E+05 1.233E-08 0.000E+00
 2.17111079E-01  18844.1 8.387E+03 1.595E+15 1.171E+01 1.187E+03 1.000E+05 0.000E+00 0.000E+00
 2.84345478E-01  19954.7 1.098E+04 1.980E+15 1.182E+01 1.179E+03 1.000E+05 0.000E+00 0.000E+00
 3.72969188E-01  21164.3 1.441E+04 2.453E+15 1.198E+01 1.180E+03 1.000E+05 0.000E+00 0.000E+00
 4.89381518E-01  22497.9 1.890E+04 3.032E+15 1.217E+01 1.187E+03 1.000E+05 0.000E+00 0.000E+00
 6.42482593E-01  23952.4 2.482E+04 3.741E+15 1.233E+01 1.195E+03 1.000E+05 0.000E+00 0.000E+00
 8.42873346E-01  25548.3 3.255E+04 4.602E+15 1.264E+01 1.215E+03 1.000E+05 0.000E+00 0.000E+00
 1.10247069E+00  27279.7 4.257E+04 5.638E+15 1.306E+01 1.246E+03 1.000E+05 0.000E+00 0.000E+00
 1.43533478E+00  29166.4 5.540E+04 6.863E+15 1.368E+01 1.299E+03 1.000E+05 0.000E+00 0.000E+00
 1.85574645E+00  31218.2 7.157E+04 8.286E+15 1.455E+01 1.378E+03 1.000E+05 0.000E+00 0.000E+00
 2.37850592E+00  33443.5 9.164E+04 9.906E+15 1.571E+01 1.485E+03 1.000E+05 0.000E+00 0.000E+00
 3.02041468E+00  35866.7 1.162E+05 1.172E+16 1.715E+01 1.619E+03 1.000E+05 1.032E+01 0.000E+00
 3.80185775E+00  38474.1 1.460E+05 1.376E+16 1.883E+01 1.781E+03 1.000E+05 1.358E+03 1.165E+03
 4.75353751E+00  41330.8 1.821E+05 1.607E+16 2.050E+01 1.936E+03 1.000E+05 2.094E+04 5.334E+03
 5.94045686E+00  44390.8 2.271E+05 1.882E+16 2.164E+01 1.911E+03 1.000E+05 7.302E+04 1.194E+04
PRADK 6.8735E+01
BEGIN                    ITERATION  60 COMPLETED
