 1.89941686E-03   3332.8 7.561E+01 7.013E+09 3.223E-04 3.747E-02 1.000E+05 0.000E+00 0.000E+00
 2.30317302E-03   3352.5 9.168E+01 8.394E+09 3.747E-04 3.732E-02 1.000E+05 0.000E+00 0.000E+00
 2.76639074E-03   3372.5 1.101E+02 9.987E+09 4.353E-04 3.707E-02 1.000E+05 0.000E+00 0.000E+00
 3.29841994E-03   3392.7 1.313E+02 1.182E+10 5.051E-04 3.680E-02 1.000E+05 0.000E+00 0.000E+00
 3.91002778E-03   3413.0 1.556E+02 1.394E+10 5.857E-04 3.651E-02 1.000E+05 0.000E+00 0.000E+00
 4.61375204E-03   3433.5 1.837E+02 1.639E+10 6.785E-04 3.621E-02 1.000E+05 0.000E+00 0.000E+00
 5.42386480E-03   3454.2 2.159E+02 1.922E+10 7.856E-04 3.595E-02 1.000E+05 0.000E+00 0.000E+00
 6.35721885E-03   3475.0 2.531E+02 2.248E+10 9.090E-04 3.575E-02 1.000E+05 0.000E+00 0.000E+00
 7.43315755E-03   3496.1 2.959E+02 2.625E+10 1.051E-03 3.551E-02 1.000E+05 0.000E+00 0.000E+00
 8.67391308E-03   3517.2 3.453E+02 3.061E+10 1.216E-03 3.537E-02 1.000E+05 0.000E+00 0.000E+00
 1.01053026E-02   3538.6 4.023E+02 3.565E+10 1.405E-03 3.525E-02 1.000E+05 0.000E+00 0.000E+00
 1.17573402E-02   3560.2 4.681E+02 4.147E+10 1.623E-03 3.520E-02 1.000E+05 0.000E+00 0.000E+00
 1.36648700E-02   3581.9 5.440E+02 4.819E+10 1.874E-03 3.525E-02 1.000E+05 0.000E+00 0.000E+00
 1.58678912E-02   3603.8 6.317E+02 5.597E+10 2.163E-03 3.534E-02 1.000E+05 0.000E+00 0.000E+00
 1.84134127E-02   3625.9 7.330E+02 6.495E+10 2.496E-03 3.553E-02 1.000E+05 0.000E+00 0.000E+00
 2.13555155E-02   3648.1 8.502E+02 7.533E+10 2.880E-03 3.582E-02 1.000E+05 0.000E+00 0.000E+00
 2.47572028E-02   3670.6 9.856E+02 8.732E+10 3.321E-03 3.624E-02 1.000E+05 0.000E+00 0.000E+00
 2.86912145E-02   3693.2 1.142E+03 1.012E+11 3.829E-03 3.676E-02 1.000E+05 0.000E+00 0.000E+00
 3.32422989E-02   3716.0 1.323E+03 1.172E+11 4.413E-03 3.742E-02 1.000E+05 0.000E+00 0.000E+00
 3.85083396E-02   3739.1 1.533E+03 1.358E+11 5.085E-03 3.822E-02 1.000E+05 0.000E+00 0.000E+00
 4.46034728E-02   3762.4 1.776E+03 1.572E+11 5.858E-03 3.915E-02 1.000E+05 0.000E+00 0.000E+00
 5.16597102E-02   3785.9 2.057E+03 1.819E+11 6.746E-03 4.024E-02 1.000E+05 0.000E+00 0.000E+00
 5.98327804E-02   3809.5 2.382E+03 2.105E+11 7.766E-03 4.150E-02 1.000E+05 0.000E+00 0.000E+00
 6.93020015E-02   3833.3 2.759E+03 2.435E+11 8.936E-03 4.292E-02 1.000E+05 0.000E+00 0.000E+00
 8.02821194E-02   3856.9 3.196E+03 2.815E+11 1.027E-02 4.458E-02 1.000E+05 0.000E+00 0.000E+00
 9.30179386E-02   3880.7 3.703E+03 3.253E+11 1.181E-02 4.646E-02 1.000E+05 0.000E+00 0.000E+00
 1.07805475E-01   3904.2 4.292E+03 3.756E+11 1.356E-02 4.863E-02 1.000E+05 0.000E+00 0.000E+00
 1.24986049E-01   3927.5 4.976E+03 4.334E+11 1.555E-02 5.113E-02 1.000E+05 0.000E+00 0.000E+00
 1.44965793E-01   3950.7 5.771E+03 4.998E+11 1.783E-02 5.399E-02 1.000E+05 0.000E+00 0.000E+00
 1.68215163E-01   3973.6 6.697E+03 5.759E+11 2.042E-02 5.731E-02 1.000E+05 0.000E+00 0.000E+00
 1.95292393E-01   3996.3 7.775E+03 6.633E+11 2.338E-02 6.110E-02 1.000E+05 0.000E+00 0.000E+00
 2.26840155E-01   4018.9 9.031E+03 7.637E+11 2.675E-02 6.547E-02 1.000E+05 0.000E+00 0.000E+00
 2.63617973E-01   4041.5 1.049E+04 8.791E+11 3.060E-02 7.050E-02 1.000E+05 0.000E+00 0.000E+00
 3.06494876E-01   4064.2 1.220E+04 1.012E+12 3.499E-02 7.630E-02 1.000E+05 0.000E+00 0.000E+00
 3.56484232E-01   4087.3 1.419E+04 1.165E+12 4.004E-02 8.301E-02 1.000E+05 0.000E+00 0.000E+00
 4.14721990E-01   4111.2 1.651E+04 1.344E+12 4.584E-02 9.076E-02 1.000E+05 0.000E+00 0.000E+00
 4.82508055E-01   4136.2 1.921E+04 1.552E+12 5.256E-02 9.978E-02 1.000E+05 0.000E+00 0.000E+00
 5.61269461E-01   4163.1 2.234E+04 1.796E+12 6.039E-02 1.103E-01 1.000E+05 0.000E+00 0.000E+00
 6.52555627E-01   4192.4 2.598E+04 2.087E+12 6.957E-02 1.226E-01 1.000E+05 0.000E+00 0.000E+00
 7.58039530E-01   4225.3 3.018E+04 2.435E+12 8.045E-02 1.371E-01 1.000E+05 0.000E+00 0.000E+00
 8.79406657E-01   4262.6 3.501E+04 2.857E+12 9.344E-02 1.541E-01 1.000E+05 0.000E+00 0.000E+00
 1.01839541E+00   4305.6 4.054E+04 3.376E+12 1.091E-01 1.744E-01 1.000E+05 0.000E+00 0.000E+00
 1.17667343E+00   4355.7 4.684E+04 4.020E+12 1.281E-01 1.984E-01 1.000E+05 0.000E+00 0.000E+00
 1.35592233E+00   4414.5 5.398E+04 4.826E+12 1.513E-01 2.269E-01 1.000E+05 0.000E+00 0.000E+00
 1.55784109E+00   4483.4 6.202E+04 5.844E+12 1.795E-01 2.608E-01 1.000E+05 0.000E+00 0.000E+00
 1.78438334E+00   4564.4 7.104E+04 7.131E+12 2.136E-01 3.007E-01 1.000E+05 0.000E+00 0.000E+00
 2.03801773E+00   4659.4 8.113E+04 8.758E+12 2.544E-01 3.469E-01 1.000E+05 0.000E+00 0.000E+00
 2.32234387E+00   4770.4 9.245E+04 1.080E+13 3.020E-01 3.993E-01 1.000E+05 0.000E+00 0.000E+00
 2.64301593E+00   4899.8 1.052E+05 1.334E+13 3.558E-01 4.570E-01 1.000E+05 0.000E+00 0.000E+00
 3.00800105E+00   5050.3 1.198E+05 1.646E+13 4.143E-01 5.184E-01 1.000E+05 0.000E+00 0.000E+00
 3.42890138E+00   5224.8 1.365E+05 2.033E+13 4.764E-01 5.831E-01 1.000E+05 0.000E+00 0.000E+00
 3.91824255E+00   5426.8 1.560E+05 2.537E+13 5.459E-01 6.571E-01 1.000E+05 0.000E+00 0.000E+00
 4.48172442E+00   5661.6 1.784E+05 3.299E+13 6.425E-01 7.651E-01 1.000E+05 2.774E+04 0.000E+00
 5.09789766E+00   5931.8 2.030E+05 4.695E+13 8.195E-01 9.727E-01 1.000E+05 5.610E+06 6.862E+03
 5.69982707E+00   6258.6 2.269E+05 7.752E+13 1.196E+00 1.380E+00 1.000E+05 6.663E+07 3.930E+04
 6.22954383E+00   6592.2 2.480E+05 1.354E+14 1.864E+00 1.995E+00 1.000E+05 2.722E+08 8.309E+04
 6.67088526E+00   6945.5 2.656E+05 2.424E+14 3.008E+00 2.724E+00 1.000E+05 6.430E+08 1.153E+05
 7.05215411E+00   7239.5 2.807E+05 3.864E+14 4.463E+00 3.151E+00 1.000E+05 1.125E+09 1.372E+05
 7.39739117E+00   7524.6 2.945E+05 5.926E+14 6.470E+00 3.373E+00 1.000E+05 1.571E+09 1.544E+05
 7.72895594E+00   7754.8 3.077E+05 8.247E+14 8.684E+00 3.318E+00 1.000E+05 1.897E+09 1.562E+05
 8.05922350E+00   7985.3 3.208E+05 1.130E+15 1.157E+01 3.334E+00 1.000E+05 2.142E+09 1.633E+05
 8.39776046E+00   8184.1 3.343E+05 1.468E+15 1.476E+01 3.155E+00 1.000E+05 2.299E+09 1.597E+05
 8.75316922E+00   8380.7 3.485E+05 1.883E+15 1.870E+01 3.140E+00 1.000E+05 2.426E+09 1.611E+05
 9.13006386E+00   8568.8 3.635E+05 2.370E+15 2.335E+01 3.013E+00 1.000E+05 2.511E+09 1.585E+05
 9.53511149E+00   8749.7 3.796E+05 2.936E+15 2.881E+01 2.886E+00 1.000E+05 2.577E+09 1.547E+05
 9.97445986E+00   8927.9 3.971E+05 3.604E+15 3.532E+01 2.810E+00 1.000E+05 2.643E+09 1.548E+05
 1.04524501E+01   9108.0 4.161E+05 4.404E+15 4.319E+01 2.655E+00 1.000E+05 2.656E+09 1.482E+05
 1.09782170E+01   9274.8 4.370E+05 5.286E+15 5.195E+01 2.711E+00 1.000E+05 2.717E+09 1.469E+05
PRADK 8.3516E-01
BEGIN                    ITERATION  60 COMPLETED
