 2.26595025E-04   5204.4 9.021E+00 2.829E+10 2.090E-03 1.446E+00 1.000E+05 0.000E+00 0.000E+00
 2.91108131E-04   5234.5 1.159E+01 3.506E+10 2.271E-03 1.395E+00 1.000E+05 0.000E+00 0.000E+00
 3.69945923E-04   5264.3 1.473E+01 4.315E+10 2.487E-03 1.348E+00 1.000E+05 0.000E+00 0.000E+00
 4.65599583E-04   5293.5 1.854E+01 5.268E+10 2.741E-03 1.310E+00 1.000E+05 0.000E+00 0.000E+00
 5.81074999E-04   5322.2 2.313E+01 6.389E+10 3.036E-03 1.284E+00 1.000E+05 0.000E+00 0.000E+00
 7.19663518E-04   5350.9 2.865E+01 7.712E+10 3.381E-03 1.270E+00 1.000E+05 0.000E+00 0.000E+00
 8.85134534E-04   5380.1 3.524E+01 9.282E+10 3.788E-03 1.265E+00 1.000E+05 0.000E+00 0.000E+00
 1.08143858E-03   5410.4 4.305E+01 1.115E+11 4.269E-03 1.265E+00 1.000E+05 0.000E+00 0.000E+00
 1.31302159E-03   5442.2 5.227E+01 1.340E+11 4.840E-03 1.269E+00 1.000E+05 0.000E+00 0.000E+00
 1.58460962E-03   5475.5 6.308E+01 1.609E+11 5.518E-03 1.275E+00 1.000E+05 0.000E+00 0.000E+00
 1.90147117E-03   5510.6 7.570E+01 1.933E+11 6.324E-03 1.282E+00 1.000E+05 0.000E+00 0.000E+00
 2.26916108E-03   5547.6 9.034E+01 2.324E+11 7.282E-03 1.288E+00 1.000E+05 0.000E+00 0.000E+00
 2.69426669E-03   5586.1 1.073E+02 2.794E+11 8.415E-03 1.292E+00 1.000E+05 0.000E+00 0.000E+00
 3.18399248E-03   5626.2 1.268E+02 3.359E+11 9.752E-03 1.292E+00 1.000E+05 0.000E+00 0.000E+00
 3.74705306E-03   5667.2 1.492E+02 4.034E+11 1.132E-02 1.289E+00 1.000E+05 0.000E+00 0.000E+00
 4.39363372E-03   5708.7 1.749E+02 4.833E+11 1.314E-02 1.282E+00 1.000E+05 0.000E+00 0.000E+00
 5.13706455E-03   5750.0 2.045E+02 5.771E+11 1.523E-02 1.274E+00 1.000E+05 0.000E+00 0.000E+00
 5.99283969E-03   5790.7 2.386E+02 6.867E+11 1.763E-02 1.267E+00 1.000E+05 0.000E+00 0.000E+00
 6.98053959E-03   5830.6 2.779E+02 8.137E+11 2.035E-02 1.263E+00 1.000E+05 0.000E+00 0.000E+00
 8.12264839E-03   5869.7 3.234E+02 9.611E+11 2.344E-02 1.265E+00 1.000E+05 0.000E+00 0.000E+00
 9.44608569E-03   5908.4 3.761E+02 1.132E+12 2.696E-02 1.273E+00 1.000E+05 0.000E+00 0.000E+00
 1.09817375E-02   5946.6 4.372E+02 1.331E+12 3.096E-02 1.287E+00 1.000E+05 0.000E+00 0.000E+00
 1.27646584E-02   5984.7 5.082E+02 1.562E+12 3.555E-02 1.307E+00 1.000E+05 0.000E+00 0.000E+00
 1.48366719E-02   6022.7 5.906E+02 1.832E+12 4.079E-02 1.332E+00 1.000E+05 0.000E+00 0.000E+00
 1.72445117E-02   6060.7 6.865E+02 2.146E+12 4.678E-02 1.365E+00 1.000E+05 0.000E+00 0.000E+00
 2.00453942E-02   6098.7 7.980E+02 2.511E+12 5.363E-02 1.405E+00 1.000E+05 0.000E+00 0.000E+00
 2.33043138E-02   6136.7 9.277E+02 2.935E+12 6.145E-02 1.452E+00 1.000E+05 0.000E+00 0.000E+00
 2.70978027E-02   6174.7 1.079E+03 3.429E+12 7.039E-02 1.507E+00 1.000E+05 0.000E+00 0.000E+00
 3.15160554E-02   6212.5 1.255E+03 4.001E+12 8.055E-02 1.570E+00 1.000E+05 0.000E+00 0.000E+00
 3.66677136E-02   6250.0 1.460E+03 4.661E+12 9.208E-02 1.644E+00 1.000E+05 0.000E+00 0.000E+00
 4.26793765E-02   6287.2 1.699E+03 5.425E+12 1.052E-01 1.729E+00 1.000E+05 0.000E+00 0.000E+00
 4.97028463E-02   6324.1 1.979E+03 6.305E+12 1.200E-01 1.830E+00 1.000E+05 0.000E+00 0.000E+00
 5.79124578E-02   6361.0 2.305E+03 7.326E+12 1.369E-01 1.949E+00 1.000E+05 0.000E+00 0.000E+00
 6.75118757E-02   6398.3 2.688E+03 8.513E+12 1.562E-01 2.089E+00 1.000E+05 0.000E+00 0.000E+00
 7.87232732E-02   6436.6 3.134E+03 9.903E+12 1.784E-01 2.253E+00 1.000E+05 0.000E+00 0.000E+00
 9.18012557E-02   6476.4 3.654E+03 1.154E+13 2.042E-01 2.446E+00 1.000E+05 0.000E+00 0.000E+00
 1.07008385E-01   6518.5 4.260E+03 1.350E+13 2.344E-01 2.674E+00 1.000E+05 0.000E+00 0.000E+00
 1.24642711E-01   6563.5 4.962E+03 1.585E+13 2.702E-01 2.945E+00 1.000E+05 0.000E+00 0.000E+00
 1.44991410E-01   6612.5 5.772E+03 1.870E+13 3.130E-01 3.272E+00 1.000E+05 0.000E+00 0.000E+00
 1.68351522E-01   6666.0 6.702E+03 2.220E+13 3.647E-01 3.669E+00 1.000E+05 0.000E+00 0.000E+00
 1.94986411E-01   6725.6 7.762E+03 2.655E+13 4.282E-01 4.161E+00 1.000E+05 0.000E+00 0.000E+00
 2.25101378E-01   6792.7 8.961E+03 3.206E+13 5.073E-01 4.782E+00 1.000E+05 0.000E+00 0.000E+00
 2.58795427E-01   6869.5 1.030E+04 3.917E+13 6.085E-01 5.586E+00 1.000E+05 0.000E+00 0.000E+00
 2.95976637E-01   6958.9 1.178E+04 4.858E+13 7.412E-01 6.654E+00 1.000E+05 0.000E+00 0.000E+00
 3.36302908E-01   7064.2 1.339E+04 6.135E+13 9.203E-01 8.112E+00 1.000E+05 0.000E+00 0.000E+00
 3.79111471E-01   7189.3 1.509E+04 7.918E+13 1.170E+00 1.017E+01 1.000E+05 0.000E+00 0.000E+00
 4.23364278E-01   7339.2 1.685E+04 1.048E+14 1.533E+00 1.319E+01 1.000E+05 1.090E+00 0.000E+00
 4.67647834E-01   7519.4 1.861E+04 1.427E+14 2.080E+00 1.780E+01 1.000E+05 8.474E+01 4.743E+02
 5.10262765E-01   7736.7 2.031E+04 2.005E+14 2.946E+00 2.519E+01 1.000E+05 2.846E+03 1.911E+03
 5.49388115E-01   7998.8 2.187E+04 2.911E+14 4.393E+00 3.772E+01 1.000E+05 1.020E+05 5.793E+03
 5.83300605E-01   8316.8 2.322E+04 4.375E+14 6.966E+00 6.026E+01 1.000E+05 4.289E+06 1.815E+04
 6.11158132E-01   8685.6 2.432E+04 6.681E+14 1.158E+01 9.999E+01 1.000E+05 8.552E+07 6.020E+04
 6.32560305E-01   9143.5 2.517E+04 1.059E+15 2.087E+01 1.758E+02 1.000E+05 5.448E+08 1.533E+05
 6.48054814E-01   9658.8 2.578E+04 1.655E+15 3.796E+01 2.827E+02 1.000E+05 2.281E+09 2.552E+05
 6.60461780E-01  10069.5 2.627E+04 2.253E+15 5.777E+01 3.255E+02 1.000E+05 5.482E+09 3.923E+05
 6.72208390E-01  10385.9 2.674E+04 2.784E+15 7.688E+01 3.080E+02 1.000E+05 8.757E+09 4.561E+05
 6.84428414E-01  10657.1 2.722E+04 3.281E+15 9.557E+01 2.791E+02 1.000E+05 1.127E+10 4.983E+05
 6.97775996E-01  10918.1 2.775E+04 3.786E+15 1.149E+02 2.530E+02 1.000E+05 1.305E+10 5.284E+05
 7.12803450E-01  11170.6 2.834E+04 4.292E+15 1.343E+02 2.323E+02 1.000E+05 1.427E+10 5.474E+05
 7.30116774E-01  11433.9 2.903E+04 4.826E+15 1.542E+02 2.237E+02 1.000E+05 1.501E+10 5.683E+05
 7.50395354E-01  11718.9 2.983E+04 5.396E+15 1.741E+02 2.165E+02 1.000E+05 1.545E+10 5.775E+05
 7.74607555E-01  12023.9 3.079E+04 5.987E+15 1.925E+02 2.284E+02 1.000E+05 1.573E+10 6.001E+05
 8.04071426E-01  12416.9 3.196E+04 6.663E+15 2.089E+02 2.486E+02 1.000E+05 1.553E+10 6.125E+05
 8.41014666E-01  12870.0 3.342E+04 7.334E+15 2.170E+02 2.942E+02 1.000E+05 1.537E+10 6.280E+05
 8.90338404E-01  13611.3 3.536E+04 8.047E+15 2.061E+02 5.702E+02 1.000E+05 1.181E+10 6.949E+05
 9.77907860E-01  15850.6 3.879E+04 8.320E+15 1.153E+02 6.906E+02 1.000E+05 4.116E+09 2.090E+05
 1.20283643E+00  18764.6 4.760E+04 8.907E+15 6.125E+01 4.646E+02 1.000E+05 5.321E+07 4.857E+04
 1.65054521E+00  21184.6 6.524E+04 1.101E+16 5.047E+01 3.794E+02 1.000E+05 9.808E+04 1.619E+04
PRADK 5.4584E+00
BEGIN                    ITERATION  60 COMPLETED
